sucursal_id,action,timestamp_lvt,details
0,Procesada 'tarea b' (Interna),1553,Duración: 3
0,Recibida 'tarea a',1553,Evento T_E=1555
0,Checkpoint Creado,1553,
0,Procesada 'tarea a',1555,
0,Procesada 'tarea b' (Interna),1556,Duración: 1
0,Recibida 'tarea a',1556,Evento T_E=1596
0,Checkpoint Creado,1556,
0,Procesada 'tarea a',1596,
0,Procesada 'tarea b' (Interna),1600,Duración: 4
0,Recibida 'tarea a',1600,Evento T_E=1634
0,Checkpoint Creado,1600,
0,Procesada 'tarea a',1634,
0,Procesada 'tarea b' (Interna),1637,Duración: 3
0,Recibida 'tarea a',1637,Evento T_E=1691
0,Checkpoint Creado,1637,
0,Procesada 'tarea a',1691,
0,Procesada 'tarea b' (Interna),1695,Duración: 4
0,Recibida 'tarea a',1695,Evento T_E=1738
0,Checkpoint Creado,1695,
0,Procesada 'tarea a',1738,
0,Procesada 'tarea b' (Interna),1743,Duración: 5
0,Recibida 'tarea a',1743,Evento T_E=1824
0,Checkpoint Creado,1743,
0,Procesada 'tarea a',1824,
0,Procesada 'tarea b' (Interna),1829,Duración: 5
0,Recibida 'tarea a',1829,Evento T_E=1855
0,Checkpoint Creado,1829,
0,Procesada 'tarea a',1855,
0,Procesada 'tarea b' (Interna),1858,Duración: 3
0,Recibida 'tarea a',1858,Evento T_E=1879
0,Checkpoint Creado,1858,
0,Procesada 'tarea a',1879,
0,Procesada 'tarea b' (Interna),1883,Duración: 4
0,Recibida 'tarea a',1883,Evento T_E=1945
0,Checkpoint Creado,1883,
0,Procesada 'tarea a',1945,
0,Procesada 'tarea b' (Interna),1950,Duración: 5
0,Recibida 'tarea a',1950,Evento T_E=1967
0,Checkpoint Creado,1950,
0,Procesada 'tarea a',1967,
0,Procesada 'tarea b' (Interna),1969,Duración: 2
0,Recibida 'tarea a',1969,Evento T_E=2009
0,Checkpoint Creado,1969,
0,Procesada 'tarea a',2009,
0,Procesada 'tarea b' (Interna),2012,Duración: 3
0,Recibida 'tarea a',2012,Evento T_E=2097
0,Checkpoint Creado,2012,
0,Procesada 'tarea a',2097,
0,Procesada 'tarea b' (Interna),2098,Duración: 1
0,Recibida 'tarea a',2098,Evento T_E=2181
0,Checkpoint Creado,2098,
0,Procesada 'tarea a',2181,
0,Procesada 'tarea b' (Interna),2184,Duración: 3
0,Recibida 'tarea a',2184,Evento T_E=2214
0,Checkpoint Creado,2184,
0,Procesada 'tarea a',2214,
0,Procesada 'tarea b' (Interna),2216,Duración: 2
0,Recibida 'tarea a',2216,Evento T_E=2230
0,Checkpoint Creado,2216,
0,Procesada 'tarea a',2230,
0,Procesada 'tarea b' (Interna),2231,Duración: 1
0,Recibida 'tarea a',2231,Evento T_E=2342
0,Checkpoint Creado,2231,
0,Procesada 'tarea a',2342,
0,Procesada 'tarea b' (Interna),2347,Duración: 5
0,Recibida 'tarea a',2347,Evento T_E=2367
0,Checkpoint Creado,2347,
0,Procesada 'tarea a',2367,
0,Procesada 'tarea b' (Interna),2370,Duración: 3
0,Recibida 'tarea a',2370,Evento T_E=2373
0,Checkpoint Creado,2370,
0,Procesada 'tarea a',2373,
0,Procesada 'tarea b' (Interna),2378,Duración: 5
0,Recibida 'tarea a',2378,Evento T_E=2406
0,Checkpoint Creado,2378,
0,Procesada 'tarea a',2406,
0,Procesada 'tarea b' (Interna),2409,Duración: 3
0,Recibida 'tarea a',2409,Evento T_E=2410
0,Checkpoint Creado,2409,
0,Procesada 'tarea a',2410,
0,Procesada 'tarea b' (Interna),2413,Duración: 3
0,Recibida 'tarea a',2413,Evento T_E=2425
0,Checkpoint Creado,2413,
0,Procesada 'tarea a',2425,
0,Procesada 'tarea b' (Interna),2430,Duración: 5
0,Recibida 'tarea a',2430,Evento T_E=2431
0,Checkpoint Creado,2430,
0,Procesada 'tarea a',2431,
0,Procesada 'tarea b' (Interna),2434,Duración: 3
0,Recibida 'tarea a',2434,Evento T_E=2475
0,Checkpoint Creado,2434,
0,Procesada 'tarea a',2475,
0,Procesada 'tarea b' (Interna),2480,Duración: 5
0,Recibida 'tarea a',2480,Evento T_E=2501
0,Checkpoint Creado,2480,
0,Procesada 'tarea a',2501,
0,Procesada 'tarea b' (Interna),2506,Duración: 5
0,Recibida 'tarea a',2506,Evento T_E=2566
0,Checkpoint Creado,2506,
0,Procesada 'tarea a',2566,
0,Procesada 'tarea b' (Interna),2569,Duración: 3
0,Recibida 'tarea a',2569,Evento T_E=2589
0,Checkpoint Creado,2569,
0,Procesada 'tarea a',2589,
0,Procesada 'tarea b' (Interna),2591,Duración: 2
0,Recibida 'tarea a',2591,Evento T_E=2598
0,Checkpoint Creado,2591,
0,Procesada 'tarea a',2598,
0,Procesada 'tarea b' (Interna),2603,Duración: 5
0,Recibida 'tarea a',2603,Evento T_E=2744
0,Checkpoint Creado,2603,
0,Procesada 'tarea a',2744,
0,Procesada 'tarea b' (Interna),2745,Duración: 1
0,Recibida 'tarea a',2745,Evento T_E=2764
0,Checkpoint Creado,2745,
0,Procesada 'tarea a',2764,
0,Procesada 'tarea b' (Interna),2765,Duración: 1
0,Recibida 'tarea a',2765,Evento T_E=2887
0,Checkpoint Creado,2765,
0,Procesada 'tarea a',2887,
0,Procesada 'tarea b' (Interna),2888,Duración: 1
0,Recibida 'tarea a',2888,Evento T_E=2993
0,Checkpoint Creado,2888,
0,Procesada 'tarea a',2993,
0,Procesada 'tarea b' (Interna),2998,Duración: 5
0,Recibida 'tarea a',2998,Evento T_E=3052
0,Checkpoint Creado,2998,
0,Procesada 'tarea a',3052,
0,Procesada 'tarea b' (Interna),3057,Duración: 5
0,Recibida 'tarea a',3057,Evento T_E=3073
0,Checkpoint Creado,3057,
0,Procesada 'tarea a',3073,
0,Procesada 'tarea b' (Interna),3076,Duración: 3
0,Recibida 'tarea a',3076,Evento T_E=3146
0,Checkpoint Creado,3076,
0,Procesada 'tarea a',3146,
0,Procesada 'tarea b' (Interna),3151,Duración: 5
0,Recibida 'tarea a',3151,Evento T_E=3151
0,Checkpoint Creado,3151,
0,Procesada 'tarea a',3151,
0,Procesada 'tarea b' (Interna),3155,Duración: 4
0,Recibida 'tarea a',3155,Evento T_E=3154
0,Rollback Iniciado,3155,T_E=3154 < LVT=3155
0,Rollback: Checkpoint Restaurado,3151,Restaurado a T=3151
0,Rollback: Checkpoint Creado,3151,
0,Rollback: Reprocesada 'tarea a',3154,
0,Rollback: Reprocesada 'tarea b',3158,Duración: 4
0,Rollback Terminado,3158,
0,Recibida 'tarea a',3158,Evento T_E=3279
0,Checkpoint Creado,3158,
0,Procesada 'tarea a',3279,
0,Procesada 'tarea b' (Interna),3283,Duración: 4
0,Recibida 'tarea a',3283,Evento T_E=3323
0,Checkpoint Creado,3283,
0,Procesada 'tarea a',3323,
0,Procesada 'tarea b' (Interna),3327,Duración: 4
0,Recibida 'tarea a',3327,Evento T_E=3327
0,Checkpoint Creado,3327,
0,Procesada 'tarea a',3327,
0,Procesada 'tarea b' (Interna),3330,Duración: 3
0,Recibida 'tarea a',3330,Evento T_E=3372
0,Checkpoint Creado,3330,
0,Procesada 'tarea a',3372,
0,Procesada 'tarea b' (Interna),3375,Duración: 3
0,Recibida 'tarea a',3375,Evento T_E=3508
0,Checkpoint Creado,3375,
0,Procesada 'tarea a',3508,
